,Track ID,Total Time,Year,BPM,Date Added,Play Count,Skip Count,Rating,Name,Artist,Genre
185,1721,232646,1987,104,2016-05-04T15:12:35Z,33,6,20,I Ain't No Joke,Eric B. & Rakim,Hip Hop/Rap
186,1723,226664,1999,93,2016-05-04T15:15:32Z,42,16,,When I B on tha Mic,Rakim,Hip Hop/Rap
187,1725,238497,1992,116,2016-05-04T15:20:22Z,38,8,20,Juice (Know The Ledge),Eric B. & Rakim,Hip Hop/Rap
188,1727,197485,1992,106,2016-05-04T15:24:59Z,34,13,20,Don't Sweat The Technique,Eric B. & Rakim,Hip Hop/Rap
189,1729,239124,2003,124,2016-05-04T15:27:29Z,55,5,,Seven Nation Army,The White Stripes,Rock
190,1731,210494,2011,98,2016-05-04T15:37:46Z,41,10,,Make Some Noise,Beastie Boys,Hip Hop/Rap
191,1733,372662,2000,99,2016-05-04T15:44:18Z,33,16,10,Crazy Rap,Afroman,Hip Hop/Rap
192,1735,190589,1986,128,2016-05-04T15:58:07Z,31,7,20,It's Tricky,Run-D.M.C. ,Hip Hop/Rap
193,1737,258403,1999,85,2016-05-04T16:08:52Z,28,11,,My Name Is,Eminem,Hip Hop/Rap
194,1739,249338,1972,62,2016-05-04T16:29:54Z,50,10,20,A Horse With No Name,America,Rock
195,1741,409417,1988,98,2016-05-08T12:14:28Z,51,14,20,Paradise City,Guns N' Roses,Rock
196,1743,294635,2000,101,2016-05-08T12:34:44Z,26,10,,The Real Slim Shady,Eminem,Hip Hop/Rap
197,1745,293459,2003,93,2016-05-20T20:02:45Z,32,7,,Where The Hood At?,DMX,Hip Hop/Rap
198,1747,207751,1986,134,2016-05-27T15:15:56Z,45,7,20,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,Hip Hop/Rap
199,1749,257071,1988,106,2016-05-27T15:19:08Z,28,12,20,Lyrics of Fury,Eric B. & Rakim,Hip Hop/Rap
200,1751,290298,1987,104,2016-05-27T15:22:57Z,33,5,20,I Know You Got Soul,Eric B. & Rakim,Hip Hop/Rap
201,1753,127320,2009,95,2016-05-27T15:26:39Z,37,14,,That's That,DOOM,Hip Hop/Rap
202,1755,262922,1993,96,2016-05-27T15:30:45Z,30,17,,I Get Around,2Pac,Hip Hop/Rap
203,1757,159660,1986,117,2016-05-27T15:37:21Z,37,6,20,Brass Monkey,Beastie Boys,Hip Hop/Rap
204,1759,302288,1988,100,2016-05-27T15:40:24Z,34,10,,Rebel Without A Pause,Public Enemy,Hip Hop/Rap
205,1761,343902,1997,91,2016-05-27T15:43:40Z,30,19,,Triumph,Wu-Tang Clan,Hip Hop/Rap
206,1763,350772,1993,40,2016-05-27T15:48:16Z,35,15,20,Method Man,Wu-Tang Clan,Hip Hop/Rap
207,1765,254171,1997,94,2016-05-27T16:48:38Z,34,14,,Guess Who's Back,Rakim,Hip Hop/Rap
208,1767,245080,1999,92,2016-05-27T16:51:19Z,36,8,,Waiting For The World To End,Rakim,Hip Hop/Rap
209,1769,234866,1988,100,2016-05-27T16:53:47Z,30,12,20,The R,Eric B. & Rakim,Hip Hop/Rap
210,1771,289201,1990,116,2016-05-27T17:07:13Z,26,9,,No Omega,Eric B. & Rakim,Hip Hop/Rap
211,1773,181368,1997,82,2016-05-27T17:12:59Z,27,13,,The 18th Letter (Always and Forever),Rakim,Hip Hop/Rap
212,1775,252186,2009,96,2016-05-27T18:58:28Z,26,9,,Gazillion Ear,DOOM,Hip Hop/Rap
213,1777,129854,1999,100,2016-05-27T19:08:55Z,34,5,20,Alphabet Aerobics,Blackalicious,Hip Hop/Rap
214,1779,238080,2005,97,2016-05-27T19:12:10Z,30,15,,Just A Lil' Bit,50 Cent,Hip Hop/Rap
215,1781,210912,2005,73,2016-05-27T19:15:15Z,26,19,,Candy Shop,50 Cent,Hip Hop/Rap
216,1783,253753,2003,85,2016-06-01T17:21:46Z,31,15,20,P.I.M.P,50 Cent,Hip Hop/Rap
217,1785,260362,2003,80,2016-06-01T17:23:52Z,91,1,20,Many Men (Wish Death),50 Cent,Hip Hop/Rap
218,1787,164806,1999,95,2016-06-11T16:36:42Z,35,13,20,The Next Episode,Dr. Dre,Hip Hop/Rap
219,1789,229616,2007,160,2016-06-11T17:00:48Z,48,7,,Empty Walls,Serj Tankian,Metal
220,1791,185051,2007,105,2016-06-11T17:02:50Z,60,6,,Sky Is Over,Serj Tankian,Metal
221,1793,274938,2012,135,2016-06-11T17:05:05Z,55,11,,Harakiri,Serj Tankian,Metal
222,1795,224156,2003,110,2016-06-11T17:10:48Z,30,10,,The Mass,ERA,
